first_sentence	second_sentence	label
Product      innovation      and    Two respondents highlighted concerns about the          Article 3 already places a duty on Member States to     None required differentiation                     impact of the PAD on product innovation and the         submit a provisional list of services linked to a                                     ability of PSPs to distinguish themselves and their     payment account. The PAD does not prevent PSPs                                     offerings. This stemmed from the proposed               from offering services that are not included in a                                     template that competent authorities would use to        Member State’s list of representative services. Its                                     report the provisional lists required by Article 3 of   purpose is to aid consumers’ comparisons of                                     the PAD.                                                different PSPs’ products. The intention of the EBA in                                                                                             producing a template for Member States and                                                                                             competent authorities was not to constrain them                                                                                             any further than the Directive requires. Rather, the                                                                                             aim is to ensure that Member States submit their                                                                                             provisional lists in a structured way that allows the                                                                                             EBA and the Commission to consider easily whether                                                                                             services are common to a majority of Member States                                                                                             as is required by Article 3(4).                                                                                             In addition, Article 6 specifies that PSPs may use                                                                                             brand names in both the FID and the SoF, provided                                                                                             these brand names are used in addition to the                                                                                             standardised terms set out in the final list.	                             Some respondents mentioned the operational burden in                              identification of those obligors that are within the scope                              of application of the joint default treatment, and also in      As the implementation of some of the provisions                              terms of applying the treatment on a group-wide basis           included in the Guidelines may be challenging for                              and criteria for the return to non-defaulted status.            some institutions, a long implementation period has                                                                                              been envisaged. As the relations between clients                              A few respondents argued that the identification of full        provide relevant information for the assessment of                              joint liability of retail obligors (e.g. a married couple) on   risk it is considered important that the institutions Operational burden           an ongoing basis is overly burdensome. Other                    collect such information. However, where the full          No change                              respondents opined that consideration of contagion              implementation of these requirements is overly                              across retail and corporate exposures may not be possible       burdensome and the effect of non-compliance is                              and contradicts commonly applied management                     material, institutions may agree with their competent                              approaches. One respondent suggested that the                   authorities appropriate action plans or demonstrate                              alternative solution mentioned in the Consultation Paper        that the effect of non-compliance is immaterial on the                              (aggregating of individual and joint credit obligations)        basis of Article 146 of the CRR.                              should be available for portfolios, for which the general                              approach is too costly or burdensome.	0
(vi)             short rates shock down. Institutions should apply the six above-mentioned interest rate shock scenarios to capture parallel and non-parallel gap risks for EVE. These scenarios are applied to IRRBB exposures in each currency separately for which the institution has material positions10. The shock size for the six interest rate shock scenarios is based on historical interest rates. More precisely, for capturing the local interest rate environment and cycle, a historical time series ranging from 2000 to 201511 for various maturities is used to calculate the parallel, short-end (‘short’) and long-end (‘long’) shocks for a given currency. However, deviations from the above-mentioned 16- year period are permitted if they better reflect a particular jurisdiction’s idiosyncratic circumstances. Table 1 displays the values calculated for the parallel, short and long interest rate shocks for selected currencies. The shocks capture the heterogeneous economic environments across the jurisdictions. These are then used to calculate the shocks for different maturities of the yield curve to create the interest rate shock scenarios as per the methodology explained below.	                                                                                             Therefore, no specific provisions regarding how this                                                                                              proportional implementation should actually be put in                                                                                              practice for small institutions, as suggested by the                                                                                              respondent, have been inserted, preserving flexibility for                                                                                              institutions. It could indeed have required the definition                                                                                              of concepts such as ‘small institutions’ and ‘business                                                                                              model’, while the general concept of proportionality is                                                                                              out of the scope of the guidelines. The proportional                                                                                              implementation of the process required should not lead                                                                                              to the non-application of the different features listed in                                                                                              Title I of the guidelines or of other provisions of the                                                                                              guidelines.	0
            b. the limits established are absolute or whether breaches of limits are possible. In                the latter case, the institution’s policies should clearly describe the period of time                during which and the specific circumstances under which such breaches of limits                are possible;	Deposits     meeting      Some respondents think that deposits meeting the              Retail deposits meeting the criteria of Article 421(1) CRR         criteria established in Article 421(1) CRR should not          Article 421(1) CRR are set to be subject                            be subject to different outflow rates. Furthermore,            to an outflow rate of at least 5%. criteria                            some respondents question the application of the GL            Accordingly they are also subject to                            to the amounts covered by the DGS irrespective of              potential risk factors which can trigger a                            the compliance with the existence of an established            higher outflow.                            relationship or a transactional account.	0
Documentation of the ABCP programme (Article 26(7))	172. Specifically, competent authorities should consider:	0
                                                                                                 62 FINAL REPORT ON GUIDELINES ON INTERNAL GOVERNANCE	Art 8       Some respondents think that Art. 4 is incompatible with         As this comment already points out, the competent function      No change             Art.8 which should be deleted or clarified.                     for the assessment depends as well on the governance             The primary responsibility of the initial and ongoing           structure (one or two-tier structure) as on the relevant             assessment lies with the bank as is clearly indicated in Art.   national corporate law. „Credit institution‟ in this regard	0
Economic dependency through a main source of funding	                   on the	0
6.2.2.4                               Trusted beneficiary (Art.13 RTS)                                               X                        X	3. EBA guidelines on range of scenarios to be used in recovery plans    7 Title I – Subject matter and scope                                      8 Title II – Requirements regarding the scenarios                         8 Title III – Final provisions and implementation                        10	0
7. Downturn LGD estimation where observed or estimated impact is not available         This section sets out a minimum aggregate MoC requirement when downturn LGD cannot be         calibrated using either of the methodologies set out in section 5 and section 6.	20.Option C would be too burdensome; it is more cost efficient to use existing procedures.	0
27. At the highest level, these requirements are intended to contribute to improving consumer     protection in the EU, promoting the safety and soundness of the European banking system as     well as the stability, effectiveness and integrity of the financial system in a broader sense. In     addition, they should foster convergence of regulatory and market practices across the EU.     More specifically, these requirements aim at transparent, efficient and competitive mortgage     markets as well as flexible and fair credit agreements relating to immovable property by     promoting creditors’ sustainable lending decisions. At the technical level, the purpose of     these requirements is to give MS further detail on the provisions of Articles 18 and 20(1) of     the Mortgage Credit Directive and to assist the CAs in giving effect to those provisions.	       [274]   General        One respondent was of the view that the Guidelines should not         The EBA is of the view that all Guidelines should apply to all PSPs so as not   None.                responses      impose the same level of requirements on the new types of             to favour specific business models and ensure technological neutrality.                               PSPs introduced with PSD2 (PISPs and AISPs), as with the PSPs         Therefore the Guidelines require all security measures to be complied                                                                                                     with by each addressee in relation to the payment services they provide                                                                                                     regardless of the size of the PSP and the business model followed.	0
Customer risk factors	95	0
(42). In paragraph 408 of the Guidelines, the phrase ‘CEBS Guidelines on stress testing’ is replaced       with ‘EBA Guidelines on institutions’ stress testing’.	                                                                                                                   39 GL ON MEASURES TO REDUCE OR REMOVE IMPEDIMENTS TO RESOLVABILITY	0
42   Report of the FSC Subgroup on Non-Performing Loans (9854/17); see ‘Policy Option A.1’ (p. 55). Report of the FSC Subgroup on Non-Performing Loans (9854/17); see ‘Policy Option A.1’ (p. 55).	           i)      the failure of the receiving entity, which would otherwise be likely;	0
b. the increasing reliance on outsourced ICT services and third party products, often in the form of        diverse packaged solutions resulting in manifold dependencies and potential constraints and new        concentration risks.	15.The EBA is updating the CEBS guidelines on outsourcing issued in 2006, which applied exclusively        to credit institutions, with the aim of establishing a more harmonised framework for the        outsourcing arrangements of financial institutions. The scope of application of these guidelines        covers not only credit institutions and investment firms subject to the CRD (referred to as        ‘institutions’), but also payment and electronic money institutions (referred to as ‘payment        institutions’). The guidelines are not directly addressed to credit intermediaries and non-bank        creditors that are subject to Directive 2014/17/EU6 or to account information service providers        that are only registered for the provision of service 8 of Annex I to the PSD2. Outsourcing        arrangements between institutions, payment institutions and such entities are within the scope        of the guidelines when such entities act as outsourcing service providers.	0
     72. These guidelines form part of the ESAs’ wider work on fostering consistent supervisory          practices and a common approach to AML/CFT, and need to be considered in that          context. The Risk Factors Guidelines equip firms with the tools they need to make          informed decisions on the effective identification, assessment and management of ML/TF          risk, and set common, regulatory expectations to which national competent authorities          will refer when assessing the adequacy of firms’ AML/CFT systems and controls. Other          ESA instruments, including the Joint Risk-Based Supervision Guidelines,36 complement          the Risk Factors Guidelines by specifying how competent authorities should organise          AML/CFT supervision. Together, they provide a solid foundation for promoting a coherent          and more harmonised supervisory response to AML/CFT challenges.	     (k) The measurement of IRRBB arising from behavioural and automatic options in assets or          liabilities, including convexity effects and non-linear payoff profiles.	0
Next steps	   Reference    Response                         Summary of responses received                                               EBA analysis and feedback                                Amendments to the     number      reference                                                                                                                                                                 proposal	0
    where all individual obligors have a defaulted status, their joint credit obligation should     automatically also be considered defaulted.	        Based on the EBA stock-take survey, in some Member States competent authorities meet         at least annually with the auditors of credit institutions and all Member States meet at	0
    b) They are not guided or influenced by the borrower’s creditworthiness.	    (c) include appropriate documentation of these assumptions in their policies and procedures,         and include a process for keeping them under review;	0
To address the mandate outlined in Article 421(3) CRR the EBA surveyed national competent authorities regarding the behaviour of local depositors, in particular during stress periods. Competent authorities responded on the basis of a sample of institutions deemed to be representative for the sectors in each country.	 55     Guideline 6   One respondent suggested that          The EBA considers that the information that the respondent suggests be made publicly            None                       the    complaints     procedures       available is already covered by Guideline 6. Guideline 6 requires national competent                       should be available on the             authorities to make publicly available information on their complaints procedures.                       competent authority’s website,                                                              The EBA is of the view that PSD2 does not require the ECB to be involved in the complaints                       and that links to the procedures                                                              procedures.                       should be available on the ECB                       website.	0
4.2   Views of the Banking Stakeholder Group (BSG)                        69	                             It should be made clear that the granting of a      The list of factors under paragraphs 5.2 and 7.1 of                              call option to a continuity foundation, as          the Guidelines is meant to be non-exhaustive.                              foreseen under Dutch law, would also be             Accordingly, the competent supervisor should                No change.                              captured under paragraph 5.2(c) of the              assess on a case-by-case basis if the relevant                              Guidelines.                                         conditions are met. Furthermore, the Guidelines                                                                                  are not meant to deal with issues specific to a	0
                                                                                                    80 GUIDELINES ON SOUND REMUNERATION POLICIES	7 000 000 to below 8 000 000                                                                     #	0
                                                                                                            18 GUIDELINES ON DISCLOSURE OF ENCUMBERED AND UNENCUMBERED ASSETS	16. The ESAs considered the level of detail that would be appropriate for achieving both      supervisory convergence and a consistent approach to AML/CFT supervision, as well as      sufficient flexibility so that national competent authorities could take account of the	0
            c. the materiality of the dilution risk (see Article 4 of Regulation (EU) 575/2013) for                purchased receivables.	             iv. The customer transfers funds in excess of those required for the investment and                   asks for surplus amounts to be reimbursed.	0
  No    Comments          Summary of responses                                                 EBA analysis                                           Amendments to the                                received                                                                                                                   proposal                                                          channel to use when replying to complainants.	3. According to Article 16(3) of Regulation (EU) No 1093/2010, competent authorities must notify    the EBA whether they comply or intend to comply with these guidelines, or otherwise, with    reasons for non-compliance, by ([dd.mm.yyyy]). In the absence of any notification by this    deadline, competent authorities will be considered by the EBA to be non-compliant.    Notifications should be sent by submitting the form available on the EBA website to    compliance@eba.europa.eu with the reference ‘EBA/GL/2019/04’. Notifications should be    submitted by persons with appropriate authority to report compliance on behalf of their    competent authorities. Any change in the status of compliance must also be reported to the    EBA.	0
                                                                                                                                             Amendments to No.                Summary of responses received                                      EBA analysis                                                                                                                                              the proposals                    have arisen. The respondent suggested that the following be                    deleted from Guideline 2.1 ‘the creditor should work with the                    consumer to establish why the difficulties have arisen”.	A high proportion of competent authorities use groups/categories of institutions to take a proportionate approach to the application of the SREP. Most commonly, competent authorities use four categories for this breakdown.	0
The BSG fully agrees with Article 32 of BRRD that establishes that extraordinary public financial support resulting from tests, reviews or equivalent exercises may not be considered as an automatic trigger for resolution when the institution fulfils the current minimum capital regulatory requirement and such support is provided (in accordance with the State Aid framework)     to    remedy      a   serious      disturbance  in    the    economy       of   a Member State and to preserve financial stability.	1.   Relevance     Many respondents supported the approach that the                   The Guidelines recognise that the risks that        No amendments      of            indicators applied should be relevant for an institution           each institution faces vary significantly      indicators    because the risks faced by each institution vary significantly     according to its business and funding      for an        depending on its business and funding model, activities,           model, its activities and structure, its size or      institution   structure size and interconnectedness.                             its interconnectedness to other institutions                                                                                       or to the financial system in general. The                    According to one respondent, the institutions should try to                                                                                       rebuttable presumptions in the Guidelines                    leverage on their existing and tested frameworks of                                                                                       take into account the institution-specific                    financial and risk control, in particular their risk appetite                                                                                       situation and the relevance of proposed                    framework. This respondent criticised the Guidelines for                                                                                       indicators. The Guidelines allow institutions                    not catering sufficiently for this kind of flexibility given the                                                                                       to justify that some categories and/or each                    proposed burden of proof, i.e. the principles of                                                                                       of the minimum indicators are not relevant                    paragraph 15 should override any rebuttable presumption                                                                                       to its legal structure, risk profile, size and/or                    that a particular indicator must be included.                                                                                       complexity. In addition, setting the                                                                                       indicators in general terms without                                                                                       providing prescriptive definitions leaves                                                                                       flexibility for tailoring them to the specific                                                                                       profile of the institution.                                                                                       The recovery plan, in order to be effective,                                                                                       must be fully incorporated into each                                                                                       institution’s overall risk management                                                                                       framework. The integration of the recovery                                                                                       plan indicators with the institution’s overall                                                                                       indicator framework is crucial in order to                                                                                       ensure      effective   risk    and      crisis                                                                                       management.	0
Timeliness of the identification of default	                   Two respondents pointed out that the Guidelines need to be           All these suggestions are welcome. However,                    more detailed. In that regard, they suggested adding the             Guidelines set out the EBA’s view of appropriate                    following statements:                                                supervisory practices within the European System	0
Date of application	(1) and (2).                              into account for the analysis on realised LGD.                contain all incomplete recovery processes that have                                                                                            not reached their maximum time to recovery. The                                                                                            latter may reveal, in particular, impact on downturn                                                                                            LGD for defaulted exposure.	0
• There is no discernible risk          There       is     no       arising from mismatches (e.g.          discernible risk of         between maturities, currencies,          significant prudential      etc.).          impact      on    the     • The size and composition of the          • There     is    consistency	4. Application of the discount rate	0
3 of Directive 2010/76/EU of the European Parliament and of the Council       of 24 November 2010 amending Directives 2006/48/EC and 2006/49/EC       as regards capital requirements for the trading book and for resecuritisations , and the supervisory review of remuneration policies1 („CRD       III‟), introduced requirements for data collection on remuneration       practices.	9   EBA report on the convergence of supervisory practices.	0
Guidelines set out the EBA’s view of appropriate supervisory practices within the European System of Financial Supervision or of how Union law should be applied in a particular area. The EBA therefore expects all competent authorities and financial institutions to whom guidelines are addressed to comply with guidelines. Competent authorities to whom guidelines apply should comply by incorporating them into their supervisory practices as appropriate (e.g. by amending their legal framework or their supervisory processes), including where guidelines are directed primarily at institutions.	When the duration-based approach accounts for the prepayment risk, the corresponding level of own funds requirements is expected to fall. The background section (Section 3.2 in particular) of the draft CP explains in detail the logic for the argument.	0
                  a. it is consistent with the risk management strategy and risk appetite of the                     institution;	11. The guidelines should help achieve the objectives of the new EU securitisation framework as     set out above, in a more efficient and effective way. They should help introduce an immediately     recognisable STS product in EU securitisation markets, increase investors’ trust in the STS     products that will be eligible for a more risk sensitive capital treatment and thereby allow     investors and originators to reap the benefits of simple, transparent and standardised     instruments.	0
                                                                                                  The EBA’s analysis                                         Amendments to  Comments           Summary of responses received                                                                                                                                                              the proposals                     intragroup service controls, i.e.: ‘ICT systems, are outsourced, including,   The requirements of the guidelines must be applied to                     to the extent applicable, to group entities…’)                                any intragroup outsourcing, without any limitation or                                                                                                                                                              No change.                                                                                                   lightening; therefore, the EBA considers there is no                                                                                                   need to specify or clarify the text.	                                                                30            are risk managed jointly.	0
           vi.    management of foreclosed assets, where relevant;	                                     Additional guidance is requested on paragraph 4(3)          The EBA agrees with the shortcomings identified in                                      of the Guidelines according to which a                      the current supervisory formula method such as its                                      commensurate transfer of credit risk is less likely if      cliff effects. In view of the long-term perspective                                      the supervisory formula method has been applied             taken in SRT assessment to ensure SRT is sustained                                      to determine the own funds requirements for the             throughout a transaction’s maturity, these                                      retained securitisation positions if these own funds        shortcomings are the very reason why competent                                      requirements are highly sensitive to small changes          authorities should consider the sensitivity of own Sensitivity of IRB parameters as     in the underlying IRB parameters.                           funds requirements to changes in the values of IRB a criterion for the SRT                                                                          parameters when conducting an SRT assessment.             No change                                      According to some respondents, using the assessment                                                                                       This also does not contradict Articles 243(2)(a) and                                      sensitivity of IRB parameters as a criterion for SRT                                      assessment would completely ignore the                      244(2)(a) of the CRR as, in accordance with these                                      shortcomings inherent in the current supervisory            Articles, competent authorities may decide on a                                      formula method itself, such as its tendency                 case-by-case basis that SRT is not considered to have                                      towards ‘cliff effects’. Particularly for relatively thin   been transferred to third parties where the possible                                      mezzanine positions, own funds requirements                 reduction in risk-weighted exposure amounts that an                                      could be very sensitive to small changes in KIRB.           originator institution would achieve is not justified                                      Therefore, the application of the supervisory               by a commensurate transfer of credit risk to third	0
 Note: the inner circle shows the share of each option where all LGD models are weighted equally, whereas the outer  circle shows the share of each option where LGD models are weighted by their corresponding exposure value.	         a. description of the current liquidity cost-benefit allocation mechanism and a             quantitative overview of its current calibration (e.g. interest rate curves, internal             reference rates for main categories of assets and liabilities in use, etc.);	0
                                                                                                           5 Final Report on Guidelines on Security Measures for Operational and Security Risks under PSD2	                                                                                                       32 FINAL REPORT ON GUIDELINES ON THE APPLICATION OF THE DEFINITION OF DEFAULT	0
33. The EBA concurs with the view of the respondents that the Guidelines do not prevent the     management body from delegating the monitoring of remuneration policies and practices to     an appropriate body or committee. The EBA understands that the specific reference to	                                 One respondent suggested deleting ‘and has not           In the ESAs’ view, there should be no reason for  Common approach                 provided any valid explanation’ in GL 12.5 because the   the permanent member not to act in accordance                                                                                                                                               Minor amendments                                  current wording could lead to a false belief that        with the common approach they have agreed to  (Guideline 12)                                                                                                                               to the Guideline 12.5.                                  permanent members of AML/CFT colleges could have         where such approach is in line with the                                  valid grounds for inactivity.                            permanent member’s national laws.	0
        ►     Option A.1 - Limiting the scope of the guidelines to credit institutions only.	According to Regulation (EU) No 529/2014 any change in the definition of default is a material change that requires the approval of a competent authority. Therefore, the impact for the national supervisory authorities will come with the applications from the institutions that were granted permission to use the IRB Approach for material changes of rating systems related to the changes in the definition of default. Granting such approvals in a timely manner might cause a significant operational burden for the national supervisors. In order to ensure efficient implementation of the changes competent authorities will have to review and agree on individual implementation plans with these institutions and later verify the timely implementation of those plans.	0
  61. The BSG considered that the draft guidelines were conducive to firms adopting risk-based       AML/CFT policies and procedures. However, in some cases, greater detail was warranted       to reduce the risk of national competent authorities enforcing divergent expectations of       firms’ assessment and management of AML/CFT risk, for example in relation to       establishing a beneficial owner’s source of funds, the application of CDD measures to       non-face-to-face relationships and the appropriate management of lower risk       correspondent banking relationships.	                                                                                     compliance with these Guidelines is without prejudice                                                                                      to the compliance with the EBA Guidelines on sound                                                                                      remuneration policies under Articles 74(3) and 75(2)                                                                                      of Directive 2013/36/EU and disclosures under Article	0
       [78]    GL 3.8         Many respondents suggested the need to clarify the meaning of   The EBA agrees with this comment and therefore has redrafted the            GL 3.8 (now GL 4.7) has                               ‘up to date’.                                                   Guideline accordingly, adding a requirement for critical security patches   been amended and now                                                                                               to be deployed.                                                             reads:                                                                                                                                                                           ‘Upon access to the                                                                                                                                                                           payment service, PSPs                                                                                                                                                                           should regularly check                                                                                                                                                                           that the software used                                                                                                                                                                           for the provision of                                                                                                                                                                           payment services,                                                                                                                                                                           including the users’                                                                                                                                                                           payment related                                                                                                                                                                           software, is up to date                                                                                                                                                                           and critical security                                                                                                                                                                           patches are deployed.                                                                                                                                                                           PSPs should ensure that                                                                                                                                                                           integrity checking                                                                                                                                                                           mechanisms are in place                                                                                                                                                                           in order to verify the                                                                                                                                                                           integrity of software,                                                                                                                                                                           firmware and information                                                                                                                                                                           on their payment                                                                                                                                                                           services.’	          Adjusting the focus of supervision, for example by focusing on the management of            risks associated with particular products or services, or on specific aspects of the            AML/CFT processes such as customer identification, risk assessment, ongoing            monitoring and reporting activities;	0
       - Authorisation means a procedure that checks whether a customer or PSP has the right          to perform a certain action, e.g. the right to transfer funds, or to have access to sensitive          data.	              (a) the purpose of the requirement on the portfolio management, and the provision of                   examples of techniques which should not be regarded as active portfolio                   management: this criterion should be considered without prejudice to the existing	0
7.3 Reconciliation with capital buffer requirements and macro-prudential requirements .......... 125	                  c. the allocation and monitoring of capital and liquidity resources among business                      lines and risk types (e.g. risk limits defined for business lines, entities or                      individual risks are consistent with the objective of ensuring the overall                      adequacy of the institution’s internal capital and liquidity resources);	0
7.                                                                                                                                               None                    early detection, procedures for handling, training of staff, and      inconsistent with Article 28 or Recital 27 MCD.                    information given to consumers.	                                                                                                              50 FINAL REPORT ON GUIDELINES ON COOPERATION BETWEEN DEPOSIT GUARANTEE SCHEMES	0
•   The recovery plan was assessed as having                                                                   material deficiencies and/or having                                                                   material     impediments      to      its                                                                   implementation      and     supervisory                                                                   concerns have not been fully addressed.                                                                   The recovery planning arrangements are                                                                   inappropriate.	5. Methodology for DGS stress tests                                                           5	0
       One respondent argued that existing EU legislation (the MCD) adequately   While some product-specific conduct standards are set out in	33     Guideline 2   One respondent considered that        The EBA agrees with the respondent, but is of the view that the information requested from        None                       the information requested from        complainants under Guideline 2.1. is basic and will not discourage complainants from filing                       complainants should not be            a complaint. In addition, the EBA considers that the information specified in Guideline 2.1.                       overly burdensome, which might        contains all relevant details to put the competent authority in a position to monitor and                       discourage them from filing a         ensure compliance with the PSD2 effectively. However, the EBA would like to highlight that                       complaint.                            it is not mandatory for complainants to provide the whole set of information requested in                                                             Guideline 2.1.	0
